Period,Data_value,Magnitude
2021.06,14091.725,6
2021.09,14374.894,6
2021.12,14883.736,6
2022.03,15256.977,6
2022.06,16064.15,6
2022.09,17837.901,6
2022.12,16917.391,6
2023.03,16241.765,6
2023.06,16639.965,6
2023.09,15931.44,6
2023.12,15554.248,6
2016.06,10658.37,6
2016.09,10755.123,6
2016.12,10932.143,6
2017.03,11382.544,6
2017.06,11956.891,6
2017.09,12362.032,6
2017.12,12341.398,6
2018.03,12321.209,6
2018.06,12412.745,6
2018.09,12515.991,6
2018.12,12688.235,6
2019.03,12937.422,6
2019.06,13013.109,6
2019.09,13223.251,6
2019.12,13763.173,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,586.399,6
2016.09,577.941,6
2016.12,571.523,6
2017.03,572.279,6
2017.06,553.194,6
2017.09,541.03,6
2017.12,592.754,6
2018.03,530.018,6
2018.06,556.048,6
2018.09,541.341,6
2018.12,565.895,6
2019.03,527.25,6
2019.06,549.739,6
2019.09,524.132,6
2019.12,516.651,6
2020.03,444.847,6
2020.06,348.318,6
2020.09,503.119,6
2020.12,475.924,6
2021.03,468.887,6
2021.06,490.221,6
2021.09,451.072,6
2021.12,529.063,6
2022.03,512.511,6
2022.06,527.968,6
2022.09,537.211,6
2022.12,547.353,6
2023.03,502.576,6
2023.06,540.495,6
2023.09,490.352,6
2023.12,556.008,6
2016.06,586.399,6
2016.09,577.941,6
2016.12,571.523,6
2017.03,572.279,6
2017.06,553.194,6
2017.09,541.03,6
2017.12,592.754,6
2018.03,530.018,6
2018.06,556.048,6
2018.09,541.341,6
2018.12,565.895,6
2019.03,527.25,6
2019.06,549.739,6
2019.09,524.132,6
2019.12,516.651,6
2020.03,444.847,6
2020.06,348.318,6
2020.09,503.119,6
2020.12,475.924,6
2021.03,468.887,6
2021.06,490.221,6
2021.09,451.072,6
2021.12,529.063,6
2022.03,512.511,6
2022.06,527.968,6
2022.09,537.211,6
2022.12,547.353,6
2023.03,502.576,6
2023.06,540.495,6
2023.09,490.352,6
2023.12,556.008,6
2016.06,595.009,6
2016.09,580.544,6
2016.12,572.349,6
2017.03,563.57,6
2017.06,557.881,6
2017.09,555.039,6
2017.12,554.285,6
2018.03,550.662,6
2018.06,548.738,6
2018.09,548.52,6
2018.12,550.366,6
2019.03,544.781,6
2019.06,541.273,6
2019.09,525.49,6
2019.12,499.959,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,2247.71,6
2016.09,2216.005,6
2016.12,2201.123,6
2017.03,2063.277,6
2017.06,2242.174,6
2017.09,2279.911,6
2017.12,2361.189,6
2018.03,2229.447,6
2018.06,2412.505,6
2018.09,2449.281,6
2018.12,2429.15,6
2019.03,2175.696,6
2019.06,2428.645,6
2019.09,2409.721,6
2019.12,2345.636,6
2020.03,2247.182,6
2020.06,1963.658,6
2020.09,2421.896,6
2020.12,2480.628,6
2021.03,2324.697,6
2021.06,2672.617,6
2021.09,2537.622,6
2021.12,2818.49,6
2022.03,2692.666,6
2022.06,3061.314,6
2022.09,3020.923,6
2022.12,2854.365,6
2023.03,2426.66,6
2023.06,2509.954,6
2023.09,2474.701,6
2023.12,2445.881,6
2016.06,2211.791,6
2016.09,2169.283,6
2016.12,2155.671,6
2017.03,2195.9,6
2017.06,2199.133,6
2017.09,2232.023,6
2017.12,2319.692,6
2018.03,2374.22,6
2018.06,2357.168,6
2018.09,2397.38,6
2018.12,2395.227,6
2019.03,2317.47,6
2019.06,2365.177,6
2019.09,2358.54,6
2019.12,2317.388,6
2020.03,2396.961,6
2020.06,1908.001,6
2020.09,2369.02,6
2020.12,2453.586,6
2021.03,2482.371,6
2021.06,2594.709,6
2021.09,2481.517,6
2021.12,2785.534,6
2022.03,2879.004,6
2022.06,2973.252,6
2022.09,2953.544,6
2022.12,2816.881,6
2023.03,2596.454,6
2023.06,2440.978,6
2023.09,2419.019,6
2023.12,2408.572,6
2016.06,2194.88,6
2016.09,2176.106,6
2016.12,2164.172,6
2017.03,2184.336,6
2017.06,2202.182,6
2017.09,2240.323,6
2017.12,2316.058,6
2018.03,2361.937,6
2018.06,2373.944,6
2018.09,2392.505,6
2018.12,2378.023,6
2019.03,2345.437,6
2019.06,2350.519,6
2019.09,2348.597,6
2019.12,2342.564,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,378.816,6
2016.09,382.97,6
2016.12,439.04,6
2017.03,339.726,6
2017.06,363.012,6
2017.09,379.748,6
2017.12,403.359,6
2018.03,345.957,6
